Место	Страна	Игрок	Сумма	Без минусов	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
139	UKR	Мишель Ладес	50			-3	-1	3	-1	1	-3	-2		2	-7	8	3	6	-1
140	BLR	Елизавета Болотова	40		3	1	1	-2	-5	1	3	5	0	-1	1	-2	3	1	-5
141	BLR	Юрий Маханько	40			-2			-4	-2	4	1		2		1	3		1
142	ARM	Рубен Захарян	40		-5	-2	-1	1	-1	1	1	5	3	6	1	-6	2		-1
143	POL	Татьяна Гнедова	30		1	0	0	0	3	0	0	0	0	1	0	0	-2	0	0
144	UKR	Марина Федоркова	30		1	1	-1	0	-1	-3	1	-3	0	0	0	3	0	4	1
145	POL	Максим Кутузов	30		2	-2	1		3	-2		-1			-3	1	2	2	0
146	BLR	Ульяна Манько	20		1	1	0	-5	2	-3	-1	2	-2	1	0	1	5	0	0
147	UKR	Руслан Кальницкий	20		-1	0	7	-1	-2	-2	1	0	2	0	-3	0	4	3	-6
148	BLR	Александр Ермак	10		0	-2	-4	-6	1	2	3	4	0	-1	0	-4	2	5	1
149	RUS	Юлия Аксёненко	0																
150	RUS	Дмитрий Филиппов	0																
151	RUS	Дарья Никитенко	0																
152	BLR	Любовь Аладьева	0																
153	BLR	Ксения Драгунова	0																
154	BLR	Иван Пуга́ч	0																
155	RUS	Николай Курышев	0																
156	RUS	Матвей Гомон	0																
157	RUS	Арсений Малышев	0																
158	RUS	Дарья Антропова	0																
159	RUS	Арина Далецкая	0																
160	RUS	Полина Довлатова	0																
161	BLR	Дарьяна Добрянская	0																
162	BLR	Екатерина Романова	0																
163	RUS	Богдан Чадромцев	0		3	1	-1	-1	-6	-2	4	-3	2		1	-1	4	-2	1
164	UKR	Олег Дмитрюк	0																
165	RUS	Юлия Снигирёва	0																
166	RUS	Ростислав Коряков	0																
167	RUS	Юлия Колодяжная	0																
168	BLR	Алёна Петухова	0																
169	BLR	Андрей Белашов	0																
170	UKR	Александра Тучинская	0																
171	UKR	Александр Беликов	0																
172	BLR	Кирилл Бочкарёв	0																
173	BLR	Анастасия Дедкова	0																
174	BLR	Артём Прокопович	0																
175	LAT	Павел Соколов	0																
176	POL	Денис Гученко	0																
177	POL	Юлия Лаптёнок	0																
178	BLR	Артём Сапрыко	0																
179	BLR	Ольга Клюева	0																
180	BLR	Анна Белешева	0																
181	BLR	Владимир Ульяницкий	0																
182	BLR	Кирилл Севкович	0																
